Date,Longitude,Latitude,MP
2004-04-01,-162.5,16,-2.988167801
2008-03-01,-82,24,-2.987136448
2009-02-01,-149,-17,-2.985459471
2005-07-01,-70.5,41,-2.984832338
2003-12-01,-62.5,15,-2.983705269
2001-10-01,-105.5,18,-2.982706192
2008-12-01,-137.5,-8,-2.981125059
2000-03-01,-79,19.5,-2.979523532
1998-03-01,-82,24.5,-2.979303657
2008-03-01,-71.5,21,-2.979129419
2009-05-01,-141,-9,-2.978565345
2005-12-01,-121,9.5,-2.976947606
2000-02-01,-74,21,-2.976821463
2005-11-01,-110.5,20,-2.976698549
2007-03-01,-141,-5.5,-2.976608758
2000-04-01,-80,28,-2.976512258
2007-10-01,-58,18.5,-2.976494442
2010-06-01,-165,24,-2.976122935
2004-09-01,-117.5,32.5,-2.974671521
2000-07-01,-65,42,-2.973333225
2012-11-01,-58.5,14,-2.972753862
2008-12-01,-140.5,-9.5,-2.971912872
2000-03-01,-77.5,17.5,-2.971615359
2012-03-01,-78,19,-2.966799853
2008-10-01,-63.5,31.5,-2.965907069
2002-04-01,-84,18,-2.965567255
2001-11-01,-59.5,16.5,-2.963518472
2000-07-01,-68,42,-2.961497837
2008-09-01,-71.5,40.5,-2.961497818
2000-07-01,-67,41.5,-2.96149555
2004-02-01,-75.5,26,-2.961423442
2004-05-01,-80,28,-2.960729125
2005-06-01,-68,44,-2.960655398
2008-10-01,-112.5,24.5,-2.96032527
2003-12-01,-75.5,17.5,-2.959175093
1998-01-01,-83,24.5,-2.958607315
1998-01-01,-79.5,25.5,-2.958607315
1998-12-01,-64.5,10.5,-2.958607315
1998-12-01,-65,10.5,-2.958607315
1998-07-01,-64,44,-2.958607315
1998-04-01,-73.5,20.5,-2.958607315
1999-04-01,-74.5,24,-2.958607315
1999-12-01,-67.5,11,-2.958607315
1998-07-01,-69.5,42.5,-2.958607315
1999-02-01,-69,20,-2.958607315
1998-08-01,-72,40,-2.958607315
1998-12-01,-66.5,11.5,-2.958607315
1998-07-01,-69,42.5,-2.958607315
1998-12-01,-78,19.5,-2.958607315
1998-11-01,-60,17,-2.958607315
2009-08-01,-72,39.5,-2.958607315
1998-04-01,-75,18.5,-2.958607315
1999-07-01,-59,44.5,-2.958607315
1998-10-01,-70,39.5,-2.958607315
2012-07-01,141,-15.5,-2.958607315
2012-04-01,-79,30,-2.958607315
1999-01-01,-82.5,21,-2.958607315
1998-04-01,-79.5,17,-2.958607315
1999-04-01,-66.5,34,-2.958607315
1999-10-01,-65.5,41,-2.958607315
1998-02-01,-77.5,29.5,-2.958607315
1999-11-01,-59.5,19,-2.958607315
1999-12-01,-73.5,14.5,-2.958607315
1998-02-01,-68,21.5,-2.958607315
1998-12-01,-83.5,17.5,-2.958607315
1999-10-01,-70.5,38.5,-2.958607315
1998-03-01,-81.5,16.5,-2.958607315
1998-12-01,-82,16.5,-2.958607315
1998-11-01,-59.5,20,-2.958607315
1999-02-01,-67.5,22.5,-2.958607315
1998-02-01,-73,28.5,-2.958607315
1999-05-01,-65.5,38.5,-2.958607315
1999-11-01,-58.5,24,-2.958607315
2012-09-01,124.5,-13.5,-2.958607303
2010-11-01,-62,13,-2.958607285
2012-05-01,-65,22.5,-2.958090434
2001-07-01,-63.5,42,-2.95802018
2000-10-01,-57,28.5,-2.956607971
2000-01-01,-82,24,-2.956333251
2009-02-01,-141,-9.5,-2.953981203
2004-12-01,-129.5,-1,-2.953767915
2006-12-01,-66.5,17.5,-2.953496415
2002-12-01,-76,18,-2.953027516
2009-02-01,-145.5,-11,-2.953011216
2008-02-01,-148.5,-15.5,-2.952425625
2012-05-01,-65,18.5,-2.949612186
2002-04-01,-174.5,24,-2.947763986
2008-08-01,-69,41.5,-2.945717488
2009-06-01,-150.5,15,-2.945058869
2010-12-01,-77,16,-2.944660486
2001-02-01,-80.5,24.5,-2.94403832
2004-12-01,-116,14,-2.943697499
2011-10-01,-130,14,-2.943697499
2010-10-01,-124.5,30,-2.942166417
2001-10-01,-65.5,37.5,-2.941309386
2009-08-01,-71.5,39,-2.939713034
2000-12-01,-74.5,18,-2.939163547
2009-02-01,-83,24,-2.938005891
2006-05-01,-82.5,24.5,-2.937825046
2008-10-01,-120,26,-2.937816432
2003-03-01,-80.5,17,-2.936821425
2002-04-01,-160.5,9.5,-2.936285611
2011-06-01,-27.5,51,-2.935120366
2007-10-01,-60,29.5,-2.934211084
2004-08-01,-69.5,40,-2.933849801
2012-05-01,-65,21,-2.931603783
2004-12-01,-138.5,-9.5,-2.931594505
2011-03-01,-64.5,23.5,-2.931483834
2003-02-01,-156.5,19,-2.930067349
2007-12-01,-83.5,24,-2.928941343
2002-04-01,-170,17.5,-2.928307047
2007-11-01,-112.5,17.5,-2.926106231
2007-03-01,-140.5,-6.5,-2.925291871
2001-06-01,-64,41.5,-2.923903181
2001-02-01,-80,25,-2.923705606
2006-11-01,-60,11.5,-2.922350355
2006-04-01,-78.5,17,-2.921903943
2009-05-01,-141.5,-9.5,-2.921514348
2012-04-01,-79.5,26.5,-2.921491879
1998-11-01,-61.5,12.5,-2.920818754
1999-11-01,-60.5,14,-2.920818754
1999-12-01,-65.5,11,-2.920818754
1999-05-01,-65,27,-2.920818754
1998-02-01,-69,27.5,-2.920818754
2009-10-01,-59,23.5,-2.920818754
1999-05-01,-65,20,-2.920818754
2010-03-01,-59.5,26.5,-2.920818754
2011-10-01,-55.5,26,-2.920433712
2010-10-01,-63.5,34,-2.918261426
2012-02-01,-77.5,26,-2.917219467
2012-12-01,-66.5,19.5,-2.916893843
2002-05-01,-61.5,29,-2.915963025
2002-03-01,-70,20,-2.915155537
2001-04-01,-62,17,-2.914763369
2010-04-01,-77.5,19,-2.914203026
2008-04-01,-77.5,19,-2.910320927
2005-02-01,-149.5,-17,-2.909804978
