rivers,lat,lon, low, Mid, up
Tugela,-28.9,31.5,16.62 ,34.35 ,62.17 
Housatonic,41.4,-73.1,3.44 ,34.07 ,101.80 
Tolten,-39.3,-73.4,6.74 ,33.78 ,79.28 
Opak,-7.9,110.4,16.20 ,33.23 ,59.81 
Chikugo,33.2,130.4,3.62 ,33.22 ,94.73 
Peedee,33.7,-79.2,3.29 ,33.11 ,98.49 
Buayan,6.7,125.2,15.85 ,32.99 ,59.83 
Taymyra,74,94,13.62 ,32.86 ,63.36 
Periyar ,9.9675,76.2436,17.37 ,32.86 ,56.62 
Dagua,3.4,-76.6,13.49 ,32.63 ,62.94 
Serang,-6,106.2,15.98 ,32.61 ,58.70 
Nervion,43.3,-3,4.20 ,32.57 ,88.18 
Manavgat,36.7,31.5,10.59 ,32.38 ,67.74 
Noatak,67.6,-162.4,3.24 ,32.34 ,97.69 
Achenkovil,9.1,77.2,16.99 ,32.09 ,55.44 
Minho,41.9,-8.8,6.17 ,32.07 ,76.22 
Sampit,-2.5,112.9,15.42 ,31.57 ,56.77 
Kikori,-7.4,144.2,17.50 ,31.13 ,51.15 
Umgeni,-29.8,31.1,14.84 ,30.67 ,55.52 
Ogooue,-0.7,10.2,14.59 ,30.50 ,55.26 
Kitakami,38.3,141.1,3.38 ,30.50 ,87.08 
Jequitinhonha,-15.3,-39.2,11.94 ,30.36 ,59.50 
Dnepr,46.6,30.5,16.68 ,30.22 ,50.40 
Douro,41.1,-8.7,5.66 ,30.05 ,71.38 
Kizil Irmark,41.667,35.9,9.56 ,29.32 ,60.83 
Ebro,40.7,0.2,3.57 ,28.74 ,77.72 
Tulangbawang,-4.8,105.3,13.94 ,28.54 ,51.32 
Sakarya,41,30.3,9.19 ,28.50 ,59.26 
Adour,43.5,-1.5,3.29 ,28.37 ,79.80 
Adige,45.6,12.4,3.82 ,28.21 ,73.71 
Kamchatka,56,159,11.55 ,28.15 ,54.43 
Paraiba,-7.1,-35,11.02 ,27.89 ,54.71 
Tenryu,34.7,137.8,3.03 ,27.49 ,78.76 
Yana,71.7,130.5,11.17 ,27.20 ,52.78 
Olenyok,73.5,119.7,11.10 ,27.16 ,52.49 
Pawan,-0.9,105.6,13.22 ,26.98 ,48.59 
Agano,38,139,2.89 ,26.19 ,74.77 
Siak,0.7,101.2,12.73 ,26.09 ,47.03 
Murar,-6.5,108.5,7.71 ,25.79 ,54.79 
Roanoke,36.5,-76,2.53 ,25.48 ,75.79 
Dordogne,44.8,-0.6,3.01 ,25.36 ,70.65 
Pearl,30.4,-89.6,2.47 ,24.92 ,74.31 
Shebelle,2.1,45.3,14.31 ,24.52 ,38.71 
