river_lat,river_lon,orig_lat_idx,orig_lon_idx,proj_lat_idx,proj_lon_idx,shift_grid,emission
22.0,121.9,50,61,50,61,0.0,11.61
41.0,13.9,60,7,66,2,7.810249675906654,11.6
23.0,120.2,51,60,51,60,0.0,11.57
1.0,-79.8,40,0,40,0,0.0,11.46
36.5,138.5,58,69,57,69,1.0,11.41
1.2,114.6,40,57,39,58,1.4142135623730951,11.23
41.3,2.2,60,1,66,1,6.0,11.16
15.6,-86.0,47,0,43,1,4.123105625617661,11.11
36.0,-76.7,57,0,66,1,9.055385138137417,11.08
18.5,121.5,49,61,49,61,0.0,11.07
43.8,10.2,61,5,66,2,5.830951894845301,11.05
37.0,-7.4,58,0,66,1,8.06225774829855,11.02
66.6,-160.0,72,0,72,0,0.0,11.01
15.6,-16.6,47,0,43,1,4.123105625617661,10.87
70.4,-147.7,74,0,72,0,2.0,10.81
37.0,140.9,58,70,58,70,0.0,10.76
40.8,20.0,60,10,68,5,9.433981132056603,10.6
48.4,-106.5,63,0,66,1,3.1622776601683795,10.58
13.9,-91.4,46,0,43,1,3.1622776601683795,10.57
-3.0,-43.2,38,0,38,0,0.0,10.52
-8.5,13.4,35,7,35,6,1.0,10.52
-2.3,-79.7,38,0,38,0,0.0,10.33
44.5,-69.8,61,0,66,1,5.0990195135927845,10.27
11.7,-15.6,45,0,43,1,2.23606797749979,10.25
46.7,-123.6,63,0,66,1,3.1622776601683795,10.21
11.2,-73.6,45,0,43,1,2.23606797749979,10.21
-36.4,-72.8,22,0,22,0,0.0,10.06
10.0,-69.7,44,0,43,1,1.4142135623730951,9.99
7.8,-11.3,43,0,43,1,1.0,9.98
15.4,76.5,47,38,47,40,2.0,9.97
7.6,79.9,43,40,43,40,0.0,9.95
21.7,70.2,50,35,50,34,1.0,9.94
5.9,-55.2,42,0,42,0,0.0,9.85
49.3,-123.1,64,0,66,1,2.23606797749979,9.83
8.3,124.3,44,62,44,62,0.0,9.82
12.2,80.3,46,40,46,40,0.0,9.8
51.0,3.4,65,2,66,2,1.0,9.71
-21.0,-40.8,29,0,29,0,0.0,9.68
-2.9,-43.4,38,0,38,0,0.0,9.58
48.5,-122.4,63,0,66,1,3.1622776601683795,9.57
12.9,-87.0,46,0,43,1,3.1622776601683795,9.56
-3.0,-40.0,38,0,38,0,0.0,9.55
9.4,-82.6,44,0,43,1,1.4142135623730951,9.51
61.5,22.3,70,11,72,5,6.324555320336759,9.51
59.4,28.2,69,14,72,18,5.0,9.49
15.1,108.6,47,54,47,55,1.0,9.43
3.4,98.0,41,49,42,49,1.0,9.4
-31.6,29.3,24,15,24,15,0.0,9.31
22.5,120.5,51,60,51,60,0.0,9.2
-19.7,44.6,30,22,30,21,1.0,9.09
51.6,-2.9,65,0,66,1,1.4142135623730951,8.98
28.8,105.2,54,53,50,54,4.123105625617661,8.95
-12.6,-38.5,33,0,33,0,0.0,8.91
47.7,-2.0,63,0,66,1,3.1622776601683795,8.88
-1.4,-48.5,39,0,39,0,0.0,8.81
40.8,117.6,60,59,59,60,1.4142135623730951,8.79
53.2,-6.3,66,0,67,0,1.0,8.71
8.8,-79.5,44,0,43,1,1.4142135623730951,8.66
23.9,121.6,51,61,51,61,0.0,8.59
27.4,84.2,53,42,50,43,3.1622776601683795,8.55
45.4,141.5,62,71,62,72,1.0,8.55
4.2,-55.5,42,0,42,0,0.0,8.54
65.1,-165.7,72,0,72,0,0.0,8.5
19.1,84.0,49,42,49,42,0.0,8.49
9.9,-13.3,44,0,43,1,1.4142135623730951,8.47
59.2,11.2,69,6,68,5,1.4142135623730951,8.42
13.5,98.6,46,49,46,48,1.0,8.42
14.1,74.6,46,37,45,37,1.0,8.38
14.0,-91.2,46,0,43,1,3.1622776601683795,8.38
54.9,-3.0,67,0,67,0,0.0,8.38
56.0,159.0,67,79,66,79,1.0,8.37
23.0,121.5,51,61,51,61,0.0,8.34
41.4,2.2,60,1,66,1,6.0,8.28
22.6,72.6,51,36,50,34,2.23606797749979,8.26
21.0,-97.4,50,0,43,1,7.0710678118654755,8.2
1.4,109.5,40,55,41,55,1.0,8.19
-18.7,-39.8,30,0,30,0,0.0,8.19
38.0,-121.5,58,0,66,1,8.06225774829855,8.15
1.5,103.7,40,52,40,52,0.0,8.14
-37.8,144.9,21,72,20,72,1.0,8.12
-1.8,-48.5,39,0,39,0,0.0,8.1
40.7,122.2,60,61,59,61,1.0,8.07
-9.2,-36.8,35,0,35,0,0.0,8.0
22.3,120.5,51,60,51,60,0.0,7.96
32.0,44.0,55,22,52,28,6.708203932499369,7.93
-33.7,-53.9,23,0,23,0,0.0,7.89
11.7,108.3,45,54,45,54,0.0,7.83
3.5,9.8,41,5,41,4,1.0,7.81
36.5,127.0,58,63,58,62,1.0,7.81
38.3,-76.5,58,0,66,1,8.06225774829855,7.71
23.0,120.3,51,60,51,60,0.0,7.64
-17.3,12.4,31,6,31,5,1.0,7.64
2.9,9.9,41,5,41,4,1.0,7.61
-17.3,31.3,31,16,29,17,2.23606797749979,7.55
45.5,12.6,62,6,66,2,5.656854249492381,7.55
70.3,-150.0,74,0,72,0,2.0,7.54
-25.3,32.8,27,16,27,16,0.0,7.54
-2.2,-79.2,38,0,38,0,0.0,7.52
14.6,-91.7,47,0,43,1,4.123105625617661,7.48
56.1,-122.5,67,0,67,0,0.0,7.45
18.0,-67.2,48,0,43,1,5.0990195135927845,7.42
51.2,0.9,65,0,66,1,1.4142135623730951,7.4
35.0,127.3,57,64,57,64,0.0,7.4
-3.0,112.6,38,56,37,56,1.0,7.31
52.7,-9.0,66,0,67,0,1.0,7.31
-2.4,-79.3,38,0,38,0,0.0,7.21
-1.0,-80.5,39,0,39,0,0.0,7.19
44.2,-68.8,61,0,66,1,5.0990195135927845,7.16
57.0,-94.8,68,0,68,0,0.0,7.16
11.6,79.8,45,40,45,40,0.0,7.15
-3.8,122.0,38,61,38,61,0.0,7.09
67.0,170.9,73,85,70,86,3.1622776601683795,7.03
50.7,-3.5,65,0,66,1,1.4142135623730951,7.02
23.4,120.4,51,60,51,60,0.0,6.95
-25.0,32.7,27,16,27,16,0.0,6.89
10.0,-14.2,44,0,43,1,1.4142135623730951,6.87
70.5,147.3,74,74,69,74,5.0,6.83
17.1,-61.8,48,0,43,1,5.0990195135927845,6.79
